sample_id,video_id,split,label,timestamp_sec,category,comparison_image_path,hog_bbox_ok,yunet_bbox_ok,hog_full_face_crop_ok,yunet_full_face_crop_ok,hog_landmarks_ok,yunet_landmarks_ok,hog_eyes_ok,yunet_eyes_ok,hog_mouth_ok,yunet_mouth_ok,hog_pose_axis_ok,yunet_pose_axis_ok,preferred_detector,manual_decision,review_note
val_n_241_t3p0,n_241,val,not_drowsy,3.0,large_mar_difference,visual_samples/large_mar_difference/val_n_241_t3p0.jpg,,,,,,,,,,,,,,,
val_n_241_t3p0,n_241,val,not_drowsy,3.0,large_pose_difference,visual_samples/large_pose_difference/val_n_241_t3p0.jpg,,,,,,,,,,,,,,,
val_n_241_t3p0,n_241,val,not_drowsy,3.0,full_face_crop_difference,visual_samples/full_face_crop_difference/val_n_241_t3p0.jpg,,,,,,,,,,,,,,,
train_d_5_t5p0,d_5,train,drowsy,5.0,both_success,visual_samples/both_success/train_d_5_t5p0.jpg,,,,,,,,,,,,,,,
train_d_5_t5p0,d_5,train,drowsy,5.0,full_face_crop_difference,visual_samples/full_face_crop_difference/train_d_5_t5p0.jpg,,,,,,,,,,,,,,,
train_n_290_t5p0,n_290,train,not_drowsy,5.0,large_mar_difference,visual_samples/large_mar_difference/train_n_290_t5p0.jpg,,,,,,,,,,,,,,,
train_n_290_t5p0,n_290,train,not_drowsy,5.0,full_face_crop_difference,visual_samples/full_face_crop_difference/train_n_290_t5p0.jpg,,,,,,,,,,,,,,,
val_d_396_t5p0,d_396,val,drowsy,5.0,large_mar_difference,visual_samples/large_mar_difference/val_d_396_t5p0.jpg,,,,,,,,,,,,,,,
val_d_396_t5p0,d_396,val,drowsy,5.0,full_face_crop_difference,visual_samples/full_face_crop_difference/val_d_396_t5p0.jpg,,,,,,,,,,,,,,,
val_n_241_t5p0,n_241,val,not_drowsy,5.0,large_bbox_difference,visual_samples/large_bbox_difference/val_n_241_t5p0.jpg,,,,,,,,,,,,,,,
val_n_241_t5p0,n_241,val,not_drowsy,5.0,large_mar_difference,visual_samples/large_mar_difference/val_n_241_t5p0.jpg,,,,,,,,,,,,,,,
val_n_241_t5p0,n_241,val,not_drowsy,5.0,large_pose_difference,visual_samples/large_pose_difference/val_n_241_t5p0.jpg,,,,,,,,,,,,,,,
val_n_241_t5p0,n_241,val,not_drowsy,5.0,full_face_crop_difference,visual_samples/full_face_crop_difference/val_n_241_t5p0.jpg,,,,,,,,,,,,,,,
train_d_5_t7p0,d_5,train,drowsy,7.0,full_face_crop_difference,visual_samples/full_face_crop_difference/train_d_5_t7p0.jpg,,,,,,,,,,,,,,,
train_n_290_t7p0,n_290,train,not_drowsy,7.0,full_face_crop_difference,visual_samples/full_face_crop_difference/train_n_290_t7p0.jpg,,,,,,,,,,,,,,,
val_d_396_t7p0,d_396,val,drowsy,7.0,full_face_crop_difference,visual_samples/full_face_crop_difference/val_d_396_t7p0.jpg,,,,,,,,,,,,,,,
val_n_241_t7p0,n_241,val,not_drowsy,7.0,large_landmark_difference,visual_samples/large_landmark_difference/val_n_241_t7p0.jpg,,,,,,,,,,,,,,,
val_n_241_t7p0,n_241,val,not_drowsy,7.0,large_ear_difference,visual_samples/large_ear_difference/val_n_241_t7p0.jpg,,,,,,,,,,,,,,,
val_n_241_t7p0,n_241,val,not_drowsy,7.0,full_face_crop_difference,visual_samples/full_face_crop_difference/val_n_241_t7p0.jpg,,,,,,,,,,,,,,,
train_d_5_t9p0,d_5,train,drowsy,9.0,full_face_crop_difference,visual_samples/full_face_crop_difference/train_d_5_t9p0.jpg,,,,,,,,,,,,,,,
train_n_290_t9p0,n_290,train,not_drowsy,9.0,full_face_crop_difference,visual_samples/full_face_crop_difference/train_n_290_t9p0.jpg,,,,,,,,,,,,,,,
val_d_396_t9p0,d_396,val,drowsy,9.0,full_face_crop_difference,visual_samples/full_face_crop_difference/val_d_396_t9p0.jpg,,,,,,,,,,,,,,,
val_n_241_t9p0,n_241,val,not_drowsy,9.0,large_mar_difference,visual_samples/large_mar_difference/val_n_241_t9p0.jpg,,,,,,,,,,,,,,,
val_n_241_t9p0,n_241,val,not_drowsy,9.0,full_face_crop_difference,visual_samples/full_face_crop_difference/val_n_241_t9p0.jpg,,,,,,,,,,,,,,,
train_d_5_t1p0,d_5,train,drowsy,1.0,full_face_crop_difference,visual_samples/full_face_crop_difference/train_d_5_t1p0.jpg,,,,,,,,,,,,,,,
train_n_290_t1p0,n_290,train,not_drowsy,1.0,large_mar_difference,visual_samples/large_mar_difference/train_n_290_t1p0.jpg,,,,,,,,,,,,,,,
val_d_396_t1p0,d_396,val,drowsy,1.0,large_ear_difference,visual_samples/large_ear_difference/val_d_396_t1p0.jpg,,,,,,,,,,,,,,,
val_n_241_t1p0,n_241,val,not_drowsy,1.0,large_bbox_difference,visual_samples/large_bbox_difference/val_n_241_t1p0.jpg,,,,,,,,,,,,,,,
val_n_241_t1p0,n_241,val,not_drowsy,1.0,large_mar_difference,visual_samples/large_mar_difference/val_n_241_t1p0.jpg,,,,,,,,,,,,,,,
train_n_461_t5p0,n_461,train,not_drowsy,5.0,large_landmark_difference,visual_samples/large_landmark_difference/train_n_461_t5p0.jpg,,,,,,,,,,,,,,,
train_n_461_t5p0,n_461,train,not_drowsy,5.0,large_mar_difference,visual_samples/large_mar_difference/train_n_461_t5p0.jpg,,,,,,,,,,,,,,,
train_d_25_t7p0,d_25,train,drowsy,7.0,large_mar_difference,visual_samples/large_mar_difference/train_d_25_t7p0.jpg,,,,,,,,,,,,,,,
train_n_461_t7p0,n_461,train,not_drowsy,7.0,large_landmark_difference,visual_samples/large_landmark_difference/train_n_461_t7p0.jpg,,,,,,,,,,,,,,,
train_n_461_t7p0,n_461,train,not_drowsy,7.0,large_mar_difference,visual_samples/large_mar_difference/train_n_461_t7p0.jpg,,,,,,,,,,,,,,,
train_n_461_t9p0,n_461,train,not_drowsy,9.0,large_landmark_difference,visual_samples/large_landmark_difference/train_n_461_t9p0.jpg,,,,,,,,,,,,,,,
train_n_461_t9p0,n_461,train,not_drowsy,9.0,large_ear_difference,visual_samples/large_ear_difference/train_n_461_t9p0.jpg,,,,,,,,,,,,,,,
val_d_44_t9p0,d_44,val,drowsy,9.0,large_landmark_difference,visual_samples/large_landmark_difference/val_d_44_t9p0.jpg,,,,,,,,,,,,,,,
val_d_44_t9p0,d_44,val,drowsy,9.0,large_pose_difference,visual_samples/large_pose_difference/val_d_44_t9p0.jpg,,,,,,,,,,,,,,,
train_n_461_t1p0,n_461,train,not_drowsy,1.0,large_landmark_difference,visual_samples/large_landmark_difference/train_n_461_t1p0.jpg,,,,,,,,,,,,,,,
train_n_461_t1p0,n_461,train,not_drowsy,1.0,large_ear_difference,visual_samples/large_ear_difference/train_n_461_t1p0.jpg,,,,,,,,,,,,,,,
train_n_461_t1p0,n_461,train,not_drowsy,1.0,large_mar_difference,visual_samples/large_mar_difference/train_n_461_t1p0.jpg,,,,,,,,,,,,,,,
val_n_996_t1p0,n_996,val,not_drowsy,1.0,both_failed,visual_samples/both_failed/val_n_996_t1p0.jpg,,,,,,,,,,,,,,,
train_n_461_t3p0,n_461,train,not_drowsy,3.0,large_landmark_difference,visual_samples/large_landmark_difference/train_n_461_t3p0.jpg,,,,,,,,,,,,,,,
train_n_461_t3p0,n_461,train,not_drowsy,3.0,large_mar_difference,visual_samples/large_mar_difference/train_n_461_t3p0.jpg,,,,,,,,,,,,,,,
val_n_996_t3p0,n_996,val,not_drowsy,3.0,large_landmark_difference,visual_samples/large_landmark_difference/val_n_996_t3p0.jpg,,,,,,,,,,,,,,,
val_n_996_t3p0,n_996,val,not_drowsy,3.0,large_mar_difference,visual_samples/large_mar_difference/val_n_996_t3p0.jpg,,,,,,,,,,,,,,,
train_n_883_t7p0,n_883,train,not_drowsy,7.0,large_landmark_difference,visual_samples/large_landmark_difference/train_n_883_t7p0.jpg,,,,,,,,,,,,,,,
train_n_883_t7p0,n_883,train,not_drowsy,7.0,large_ear_difference,visual_samples/large_ear_difference/train_n_883_t7p0.jpg,,,,,,,,,,,,,,,
train_n_883_t7p0,n_883,train,not_drowsy,7.0,large_mar_difference,visual_samples/large_mar_difference/train_n_883_t7p0.jpg,,,,,,,,,,,,,,,
val_d_609_t7p0,d_609,val,drowsy,7.0,large_ear_difference,visual_samples/large_ear_difference/val_d_609_t7p0.jpg,,,,,,,,,,,,,,,
val_n_640_t7p0,n_640,val,not_drowsy,7.0,large_landmark_difference,visual_samples/large_landmark_difference/val_n_640_t7p0.jpg,,,,,,,,,,,,,,,
val_n_640_t7p0,n_640,val,not_drowsy,7.0,large_mar_difference,visual_samples/large_mar_difference/val_n_640_t7p0.jpg,,,,,,,,,,,,,,,
train_d_737_t9p0,d_737,train,drowsy,9.0,large_ear_difference,visual_samples/large_ear_difference/train_d_737_t9p0.jpg,,,,,,,,,,,,,,,
train_d_737_t9p0,d_737,train,drowsy,9.0,large_mar_difference,visual_samples/large_mar_difference/train_d_737_t9p0.jpg,,,,,,,,,,,,,,,
train_n_883_t1p0,n_883,train,not_drowsy,1.0,large_ear_difference,visual_samples/large_ear_difference/train_n_883_t1p0.jpg,,,,,,,,,,,,,,,
train_n_883_t1p0,n_883,train,not_drowsy,1.0,large_mar_difference,visual_samples/large_mar_difference/train_n_883_t1p0.jpg,,,,,,,,,,,,,,,
val_n_640_t1p0,n_640,val,not_drowsy,1.0,large_landmark_difference,visual_samples/large_landmark_difference/val_n_640_t1p0.jpg,,,,,,,,,,,,,,,
val_n_640_t1p0,n_640,val,not_drowsy,1.0,large_ear_difference,visual_samples/large_ear_difference/val_n_640_t1p0.jpg,,,,,,,,,,,,,,,
val_n_640_t1p0,n_640,val,not_drowsy,1.0,large_mar_difference,visual_samples/large_mar_difference/val_n_640_t1p0.jpg,,,,,,,,,,,,,,,
val_n_640_t1p0,n_640,val,not_drowsy,1.0,large_pose_difference,visual_samples/large_pose_difference/val_n_640_t1p0.jpg,,,,,,,,,,,,,,,
val_d_609_t5p0,d_609,val,drowsy,5.0,large_ear_difference,visual_samples/large_ear_difference/val_d_609_t5p0.jpg,,,,,,,,,,,,,,,
val_d_852_t9p0,d_852,val,drowsy,9.0,yunet_only,visual_samples/yunet_only/val_d_852_t9p0.jpg,,,,,,,,,,,,,,,
val_n_658_t9p0,n_658,val,not_drowsy,9.0,large_landmark_difference,visual_samples/large_landmark_difference/val_n_658_t9p0.jpg,,,,,,,,,,,,,,,
val_n_658_t9p0,n_658,val,not_drowsy,9.0,large_pose_difference,visual_samples/large_pose_difference/val_n_658_t9p0.jpg,,,,,,,,,,,,,,,
train_d_620_t1p0,d_620,train,drowsy,1.0,large_ear_difference,visual_samples/large_ear_difference/train_d_620_t1p0.jpg,,,,,,,,,,,,,,,
val_d_852_t1p0,d_852,val,drowsy,1.0,large_landmark_difference,visual_samples/large_landmark_difference/val_d_852_t1p0.jpg,,,,,,,,,,,,,,,
val_d_852_t3p0,d_852,val,drowsy,3.0,large_landmark_difference,visual_samples/large_landmark_difference/val_d_852_t3p0.jpg,,,,,,,,,,,,,,,
val_d_852_t5p0,d_852,val,drowsy,5.0,large_landmark_difference,visual_samples/large_landmark_difference/val_d_852_t5p0.jpg,,,,,,,,,,,,,,,
val_d_852_t5p0,d_852,val,drowsy,5.0,large_ear_difference,visual_samples/large_ear_difference/val_d_852_t5p0.jpg,,,,,,,,,,,,,,,
val_n_658_t5p0,n_658,val,not_drowsy,5.0,large_landmark_difference,visual_samples/large_landmark_difference/val_n_658_t5p0.jpg,,,,,,,,,,,,,,,
val_n_658_t5p0,n_658,val,not_drowsy,5.0,large_ear_difference,visual_samples/large_ear_difference/val_n_658_t5p0.jpg,,,,,,,,,,,,,,,
val_n_658_t5p0,n_658,val,not_drowsy,5.0,large_pose_difference,visual_samples/large_pose_difference/val_n_658_t5p0.jpg,,,,,,,,,,,,,,,
train_d_620_t7p0,d_620,train,drowsy,7.0,large_ear_difference,visual_samples/large_ear_difference/train_d_620_t7p0.jpg,,,,,,,,,,,,,,,
val_d_852_t7p0,d_852,val,drowsy,7.0,large_landmark_difference,visual_samples/large_landmark_difference/val_d_852_t7p0.jpg,,,,,,,,,,,,,,,
train_n_474_t1p0,n_474,train,not_drowsy,1.0,large_landmark_difference,visual_samples/large_landmark_difference/train_n_474_t1p0.jpg,,,,,,,,,,,,,,,
train_n_474_t3p0,n_474,train,not_drowsy,3.0,large_landmark_difference,visual_samples/large_landmark_difference/train_n_474_t3p0.jpg,,,,,,,,,,,,,,,
val_n_1002_t3p0,n_1002,val,not_drowsy,3.0,large_landmark_difference,visual_samples/large_landmark_difference/val_n_1002_t3p0.jpg,,,,,,,,,,,,,,,
train_n_474_t5p0,n_474,train,not_drowsy,5.0,large_pose_difference,visual_samples/large_pose_difference/train_n_474_t5p0.jpg,,,,,,,,,,,,,,,
train_d_936_t9p0,d_936,train,drowsy,9.0,large_pose_difference,visual_samples/large_pose_difference/train_d_936_t9p0.jpg,,,,,,,,,,,,,,,
train_d_488_t3p0,d_488,train,drowsy,3.0,large_pose_difference,visual_samples/large_pose_difference/train_d_488_t3p0.jpg,,,,,,,,,,,,,,,
train_d_488_t7p0,d_488,train,drowsy,7.0,large_pose_difference,visual_samples/large_pose_difference/train_d_488_t7p0.jpg,,,,,,,,,,,,,,,
val_d_682_t7p0,d_682,val,drowsy,7.0,large_ear_difference,visual_samples/large_ear_difference/val_d_682_t7p0.jpg,,,,,,,,,,,,,,,
train_d_488_t9p0,d_488,train,drowsy,9.0,large_ear_difference,visual_samples/large_ear_difference/train_d_488_t9p0.jpg,,,,,,,,,,,,,,,
train_d_488_t1p0,d_488,train,drowsy,1.0,large_pose_difference,visual_samples/large_pose_difference/train_d_488_t1p0.jpg,,,,,,,,,,,,,,,
train_d_75_t5p0,d_75,train,drowsy,5.0,large_pose_difference,visual_samples/large_pose_difference/train_d_75_t5p0.jpg,,,,,,,,,,,,,,,
val_d_430_t5p0,d_430,val,drowsy,5.0,hog_only,visual_samples/hog_only/val_d_430_t5p0.jpg,,,,,,,,,,,,,,,
train_d_75_t7p0,d_75,train,drowsy,7.0,large_pose_difference,visual_samples/large_pose_difference/train_d_75_t7p0.jpg,,,,,,,,,,,,,,,
train_d_75_t9p0,d_75,train,drowsy,9.0,large_pose_difference,visual_samples/large_pose_difference/train_d_75_t9p0.jpg,,,,,,,,,,,,,,,
train_n_889_t9p0,n_889,train,not_drowsy,9.0,yunet_only,visual_samples/yunet_only/train_n_889_t9p0.jpg,,,,,,,,,,,,,,,
train_d_75_t3p0,d_75,train,drowsy,3.0,large_pose_difference,visual_samples/large_pose_difference/train_d_75_t3p0.jpg,,,,,,,,,,,,,,,
