sample_id,video_id,split,label,timestamp_sec,source_frame_index,frame_width,frame_height,yunet_bbox_x1,yunet_bbox_y1,yunet_bbox_x2,yunet_bbox_y2,yunet_bbox_width,yunet_bbox_height,yunet_bbox_aspect_ratio,raw_crop_width,raw_crop_height,raw_distortion_ratio,raw_padding_left,raw_padding_top,raw_padding_right,raw_padding_bottom,raw_padding_fraction,raw_padding_required,raw_face_area_fraction,square0_x1,square0_y1,square0_x2,square0_y2,square0_side,square0_padding_left,square0_padding_top,square0_padding_right,square0_padding_bottom,square0_padding_fraction,square0_padding_required,square0_face_area_fraction,square0_face_width_fraction,square0_face_height_fraction,square10_x1,square10_y1,square10_x2,square10_y2,square10_side,square10_padding_left,square10_padding_top,square10_padding_right,square10_padding_bottom,square10_padding_fraction,square10_padding_required,square10_face_area_fraction,square10_face_width_fraction,square10_face_height_fraction,square20_x1,square20_y1,square20_x2,square20_y2,square20_side,square20_padding_left,square20_padding_top,square20_padding_right,square20_padding_bottom,square20_padding_fraction,square20_padding_required,square20_face_area_fraction,square20_face_width_fraction,square20_face_height_fraction
val_n_835_t5p0,n_835,val,not_drowsy,5.0,150,720,1280,263,644,443,890,180,246,0.7317073170731707,180,246,1.3666666666666667,0,0,0,0,0.0,False,1.0,230,644,476,890,246,0,0,0,0,0.0,False,0.7317073170731707,0.7317073170731707,1.0,205,619,501,915,296,0,0,0,0,0.0,False,0.5053871439006574,0.6081081081081081,0.831081081081081,180,594,525,939,345,0,0,0,0,0.0,False,0.3720226843100189,0.5217391304347826,0.7130434782608696
train_d_438_t7p0,d_438,train,drowsy,7.0,210,720,1280,324,286,574,608,250,322,0.7763975155279503,250,322,1.288,0,0,0,0,0.0,False,1.0,288,286,610,608,322,0,0,0,0,0.0,False,0.7763975155279503,0.7763975155279503,1.0,255,253,642,640,387,0,0,0,0,0.0,False,0.5374944080550714,0.6459948320413437,0.8320413436692506,223,221,674,672,451,0,0,0,0,0.0,False,0.39576993230121776,0.5543237250554324,0.7139689578713969
train_n_908_t7p0,n_908,train,not_drowsy,7.0,210,720,1280,195,246,441,604,246,358,0.6871508379888268,246,358,1.4552845528455285,0,0,0,0,0.0,False,1.0,139,246,497,604,358,0,0,0,0,0.0,False,0.6871508379888268,0.6871508379888268,1.0,103,210,533,640,430,0,0,0,0,0.0,False,0.4763007030827474,0.5720930232558139,0.8325581395348837,67,174,569,676,502,0,0,0,0,0.0,False,0.34947064332312183,0.4900398406374502,0.7131474103585658
val_d_796_t7p0,d_796,val,drowsy,7.0,210,720,1280,228,273,526,680,298,407,0.7321867321867321,298,407,1.3657718120805369,0,0,0,0,0.0,False,1.0,173,273,580,680,407,0,0,0,0,0.0,False,0.7321867321867321,0.7321867321867321,1.0,132,232,621,721,489,0,0,0,0,0.0,False,0.5072160119771998,0.6094069529652352,0.8323108384458078,92,191,662,761,570,0,0,0,0,0.0,False,0.3733025546321945,0.5228070175438596,0.7140350877192982
val_n_835_t7p0,n_835,val,not_drowsy,7.0,210,720,1280,266,646,450,903,184,257,0.7159533073929961,184,257,1.3967391304347827,0,0,0,0,0.0,False,1.0,229,646,486,903,257,0,0,0,0,0.0,False,0.7159533073929961,0.7159533073929961,1.0,203,620,512,929,309,0,0,0,0,0.0,False,0.49526083723463304,0.5954692556634305,0.8317152103559871,178,594,538,954,360,0,0,0,0,0.0,False,0.36487654320987656,0.5111111111111111,0.7138888888888889
train_d_438_t9p0,d_438,train,drowsy,9.0,270,720,1280,331,287,582,617,251,330,0.7606060606060606,251,330,1.3147410358565736,0,0,0,0,0.0,False,1.0,291,287,621,617,330,0,0,0,0,0.0,False,0.7606060606060606,0.7606060606060606,1.0,258,254,654,650,396,0,0,0,0,0.0,False,0.5281986531986532,0.6338383838383839,0.8333333333333334,225,221,687,683,462,0,0,0,0,0.0,False,0.3880643166357452,0.5432900432900433,0.7142857142857143
train_n_908_t9p0,n_908,train,not_drowsy,9.0,270,720,1280,180,249,418,602,238,353,0.6742209631728046,238,353,1.4831932773109244,0,0,0,0,0.0,False,1.0,122,249,475,602,353,0,0,0,0,0.0,False,0.6742209631728046,0.6742209631728046,1.0,87,213,511,637,424,0,0,0,0,0.0,False,0.4673260056959772,0.5613207547169812,0.8325471698113207,51,178,546,673,495,0,0,0,0,0.0,False,0.3428792980308132,0.4808080808080808,0.7131313131313132
val_d_796_t9p0,d_796,val,drowsy,9.0,270,720,1280,227,268,518,676,291,408,0.7132352941176471,291,408,1.402061855670103,0,0,0,0,0.0,False,1.0,168,268,576,676,408,0,0,0,0,0.0,False,0.7132352941176471,0.7132352941176471,1.0,127,227,617,717,490,0,0,0,0,0.0,False,0.494493960849646,0.5938775510204082,0.8326530612244898,86,186,658,758,572,0,0,0,0,0.0,False,0.36287838036089787,0.5087412587412588,0.7132867132867133
val_n_835_t9p0,n_835,val,not_drowsy,9.0,270,720,1280,254,636,444,885,190,249,0.7630522088353414,190,249,1.3105263157894738,0,0,0,0,0.0,False,1.0,224,636,473,885,249,0,0,0,0,0.0,False,0.7630522088353414,0.7630522088353414,1.0,199,611,498,910,299,0,0,0,0,0.0,False,0.5291887115356652,0.6354515050167224,0.8327759197324415,174,586,523,935,349,0,0,0,0,0.0,False,0.38842045631809263,0.5444126074498568,0.7134670487106017
train_d_5_t3p0,d_5,train,drowsy,3.0,90,720,1280,289,462,567,879,278,417,0.6666666666666666,278,417,1.5,0,0,0,0,0.0,False,1.0,219,462,636,879,417,0,0,0,0,0.0,False,0.6666666666666666,0.6666666666666666,1.0,177,420,678,921,501,0,0,0,0,0.0,False,0.4618547336464795,0.5548902195608783,0.8323353293413174,136,378,720,962,584,0,0,0,0,0.0,False,0.33990312441358606,0.476027397260274,0.714041095890411
train_n_290_t3p0,n_290,train,not_drowsy,3.0,90,720,1280,285,599,466,845,181,246,0.7357723577235772,181,246,1.3591160220994476,0,0,0,0,0.0,False,1.0,252,599,498,845,246,0,0,0,0,0.0,False,0.7357723577235772,0.7357723577235772,1.0,227,574,523,870,296,0,0,0,0,0.0,False,0.508194850255661,0.6114864864864865,0.831081081081081,203,549,548,894,345,0,0,0,0,0.0,False,0.3740894770006301,0.5246376811594203,0.7130434782608696
val_d_396_t3p0,d_396,val,drowsy,3.0,90,720,1280,220,389,465,703,245,314,0.7802547770700637,245,314,1.2816326530612245,0,0,0,0,0.0,False,1.0,185,389,499,703,314,0,0,0,0,0.0,False,0.7802547770700637,0.7802547770700637,1.0,154,357,531,734,377,0,0,0,0,0.0,False,0.5412688473147633,0.649867374005305,0.8328912466843501,122,326,562,766,440,0,0,0,0,0.0,False,0.39736570247933883,0.5568181818181818,0.7136363636363636
val_n_241_t3p0,n_241,val,not_drowsy,3.0,90,720,1280,342,327,565,632,223,305,0.7311475409836066,223,305,1.3677130044843049,0,0,0,0,0.0,False,1.0,301,327,606,632,305,0,0,0,0,0.0,False,0.7311475409836066,0.7311475409836066,1.0,270,296,636,662,366,0,0,0,0,0.0,False,0.5077413479052824,0.6092896174863388,0.8333333333333334,240,266,667,693,427,0,0,0,0,0.0,False,0.3730344596855136,0.522248243559719,0.7142857142857143
train_d_5_t5p0,d_5,train,drowsy,5.0,150,720,1280,320,474,596,877,276,403,0.684863523573201,276,403,1.460144927536232,0,0,0,0,0.0,False,1.0,256,474,659,877,403,0,0,0,0,0.0,False,0.684863523573201,0.684863523573201,1.0,216,433,700,917,484,0,0,0,0,0.0,False,0.47481387883341303,0.5702479338842975,0.8326446280991735,175,393,740,958,565,0,0,20,0,0.03539823008849563,True,0.3484313571932023,0.48849557522123893,0.7132743362831858
train_n_290_t5p0,n_290,train,not_drowsy,5.0,150,720,1280,347,615,535,883,188,268,0.7014925373134329,188,268,1.425531914893617,0,0,0,0,0.0,False,1.0,307,615,575,883,268,0,0,0,0,0.0,False,0.7014925373134329,0.7014925373134329,1.0,280,588,602,910,322,0,0,0,0,0.0,False,0.4859380425137919,0.5838509316770186,0.8322981366459627,253,561,629,937,376,0,0,0,0,0.0,False,0.35638297872340424,0.5,0.7127659574468085
val_d_396_t5p0,d_396,val,drowsy,5.0,150,720,1280,205,394,448,727,243,333,0.7297297297297297,243,333,1.3703703703703705,0,0,0,0,0.0,False,1.0,160,394,493,727,333,0,0,0,0,0.0,False,0.7297297297297297,0.7297297297297297,1.0,126,360,526,760,400,0,0,0,0,0.0,False,0.50574375,0.6075,0.8325,93,327,560,794,467,0,0,0,0,0.0,False,0.3710365951515207,0.5203426124197003,0.7130620985010707
val_n_241_t5p0,n_241,val,not_drowsy,5.0,150,720,1280,341,323,573,630,232,307,0.755700325732899,232,307,1.3232758620689655,0,0,0,0,0.0,False,1.0,303,323,610,630,307,0,0,0,0,0.0,False,0.755700325732899,0.755700325732899,1.0,272,292,641,661,369,0,0,0,0,0.0,False,0.523086640080493,0.6287262872628726,0.8319783197831978,242,261,672,691,430,0,0,0,0,0.0,False,0.38520281233098974,0.5395348837209303,0.713953488372093
train_d_5_t7p0,d_5,train,drowsy,7.0,210,720,1280,302,470,575,881,273,411,0.6642335766423357,273,411,1.5054945054945055,0,0,0,0,0.0,False,1.0,233,470,644,881,411,0,0,0,0,0.0,False,0.6642335766423357,0.6642335766423357,1.0,191,428,685,922,494,0,0,0,0,0.0,False,0.4597805241849563,0.5526315789473685,0.8319838056680162,150,387,726,963,576,0,0,6,0,0.01041666666666663,True,0.3381890190972222,0.4739583333333333,0.7135416666666666
train_n_290_t7p0,n_290,train,not_drowsy,7.0,210,720,1280,331,608,515,870,184,262,0.7022900763358778,184,262,1.423913043478261,0,0,0,0,0.0,False,1.0,292,608,554,870,262,0,0,0,0,0.0,False,0.7022900763358778,0.7022900763358778,1.0,265,581,580,896,315,0,0,0,0,0.0,False,0.4858453010833963,0.5841269841269842,0.8317460317460318,239,555,606,922,367,0,0,0,0,0.0,False,0.35792083986071616,0.5013623978201635,0.7138964577656676
val_d_396_t7p0,d_396,val,drowsy,7.0,210,720,1280,217,382,461,702,244,320,0.7625,244,320,1.3114754098360655,0,0,0,0,0.0,False,1.0,179,382,499,702,320,0,0,0,0,0.0,False,0.7625,0.7625,1.0,147,350,531,734,384,0,0,0,0,0.0,False,0.5295138888888888,0.6354166666666666,0.8333333333333334,115,318,563,766,448,0,0,0,0,0.0,False,0.38903061224489793,0.5446428571428571,0.7142857142857143
val_n_241_t7p0,n_241,val,not_drowsy,7.0,210,720,1280,330,325,546,630,216,305,0.7081967213114754,216,305,1.412037037037037,0,0,0,0,0.0,False,1.0,285,325,590,630,305,0,0,0,0,0.0,False,0.7081967213114754,0.7081967213114754,1.0,255,294,621,660,366,0,0,0,0,0.0,False,0.4918032786885246,0.5901639344262295,0.8333333333333334,224,264,651,691,427,0,0,0,0,0.0,False,0.36132485781197726,0.5058548009367682,0.7142857142857143
train_d_5_t9p0,d_5,train,drowsy,9.0,270,720,1280,301,457,569,858,268,401,0.6683291770573566,268,401,1.4962686567164178,0,0,0,0,0.0,False,1.0,234,457,635,858,401,0,0,0,0,0.0,False,0.6683291770573566,0.6683291770573566,1.0,194,416,676,898,482,0,0,0,0,0.0,False,0.46257812365489576,0.5560165975103735,0.8319502074688797,154,376,716,938,562,0,0,0,0,0.0,False,0.34025658236344525,0.47686832740213525,0.7135231316725978
train_n_290_t9p0,n_290,train,not_drowsy,9.0,270,720,1280,284,601,471,862,187,261,0.7164750957854407,187,261,1.3957219251336899,0,0,0,0,0.0,False,1.0,247,601,508,862,261,0,0,0,0,0.0,False,0.7164750957854407,0.7164750957854407,1.0,220,574,534,888,314,0,0,0,0,0.0,False,0.4950200819505862,0.5955414012738853,0.8312101910828026,194,548,560,914,366,0,0,0,0,0.0,False,0.3643509809191078,0.5109289617486339,0.7131147540983607
val_d_396_t9p0,d_396,val,drowsy,9.0,270,720,1280,226,379,470,688,244,309,0.7896440129449838,244,309,1.2663934426229508,0,0,0,0,0.0,False,1.0,193,379,502,688,309,0,0,0,0,0.0,False,0.7896440129449838,0.7896440129449838,1.0,162,348,533,719,371,0,0,0,0,0.0,False,0.547772829316846,0.6576819407008087,0.8328840970350404,131,317,564,750,433,0,0,0,0,0.0,False,0.40213559195472803,0.5635103926096998,0.7136258660508084
val_n_241_t9p0,n_241,val,not_drowsy,9.0,270,720,1280,342,331,569,636,227,305,0.7442622950819672,227,305,1.3436123348017621,0,0,0,0,0.0,False,1.0,303,331,608,636,305,0,0,0,0,0.0,False,0.7442622950819672,0.7442622950819672,1.0,272,300,638,666,366,0,0,0,0,0.0,False,0.5168488160291439,0.6202185792349727,0.8333333333333334,242,270,669,697,427,0,0,0,0,0.0,False,0.3797256607561057,0.531615925058548,0.7142857142857143
train_d_5_t1p0,d_5,train,drowsy,1.0,30,720,1280,271,481,534,867,263,386,0.6813471502590673,263,386,1.467680608365019,0,0,0,0,0.0,False,1.0,209,481,595,867,386,0,0,0,0,0.0,False,0.6813471502590673,0.6813471502590673,1.0,170,442,634,906,464,0,0,0,0,0.0,False,0.47152757134363854,0.5668103448275862,0.8318965517241379,132,403,673,944,541,0,0,0,0,0.0,False,0.34685545013171337,0.48613678373382624,0.7134935304990758
train_n_290_t1p0,n_290,train,not_drowsy,1.0,30,720,1280,278,600,461,869,183,269,0.6802973977695167,183,269,1.469945355191257,0,0,0,0,0.0,False,1.0,235,600,504,869,269,0,0,0,0,0.0,False,0.6802973977695167,0.6802973977695167,1.0,208,573,531,896,323,0,0,0,0,0.0,False,0.471843878499746,0.56656346749226,0.8328173374613003,181,546,558,923,377,0,0,0,0,0.0,False,0.34635436821479076,0.4854111405835544,0.713527851458886
val_d_396_t1p0,d_396,val,drowsy,1.0,30,720,1280,212,390,449,686,237,296,0.8006756756756757,237,296,1.248945147679325,0,0,0,0,0.0,False,1.0,182,390,478,686,296,0,0,0,0,0.0,False,0.8006756756756757,0.8006756756756757,1.0,152,360,508,716,356,0,0,0,0,0.0,False,0.5535285948743845,0.6657303370786517,0.8314606741573034,123,330,538,745,415,0,0,0,0,0.0,False,0.4073276237480041,0.5710843373493976,0.7132530120481928
val_n_241_t1p0,n_241,val,not_drowsy,1.0,30,720,1280,346,321,564,633,218,312,0.6987179487179487,218,312,1.4311926605504588,0,0,0,0,0.0,False,1.0,299,321,611,633,312,0,0,0,0,0.0,False,0.6987179487179487,0.6987179487179487,1.0,267,289,642,664,375,0,0,0,0,0.0,False,0.48366933333333334,0.5813333333333334,0.832,236,258,673,695,437,0,0,0,0,0.0,False,0.3561625185239489,0.4988558352402746,0.7139588100686499
train_d_25_t5p0,d_25,train,drowsy,5.0,150,720,1280,260,504,530,901,270,397,0.6801007556675063,270,397,1.4703703703703703,0,0,0,0,0.0,False,1.0,196,504,593,901,397,0,0,0,0,0.0,False,0.6801007556675063,0.6801007556675063,1.0,156,464,633,941,477,0,0,0,0,0.0,False,0.47110478224753766,0.5660377358490566,0.8322851153039832,117,424,673,980,556,0,0,0,0,0.0,False,0.3467405931370012,0.4856115107913669,0.7140287769784173
train_n_461_t5p0,n_461,train,not_drowsy,5.0,125,720,1280,256,378,464,699,208,321,0.6479750778816199,208,321,1.5432692307692308,0,0,0,0,0.0,False,1.0,199,378,520,699,321,0,0,0,0,0.0,False,0.6479750778816199,0.6479750778816199,1.0,167,345,553,731,386,0,0,0,0,0.0,False,0.4481194126016806,0.538860103626943,0.8316062176165803,135,313,585,763,450,0,0,0,0,0.0,False,0.3297185185185185,0.4622222222222222,0.7133333333333334
val_d_44_t5p0,d_44,val,drowsy,5.0,150,720,1280,224,323,471,714,247,391,0.6317135549872123,247,391,1.582995951417004,0,0,0,0,0.0,False,1.0,152,323,543,714,391,0,0,0,0,0.0,False,0.6317135549872123,0.6317135549872123,1.0,112,283,582,753,470,0,0,0,0,0.0,False,0.4371978270710729,0.5255319148936171,0.8319148936170213,73,244,621,792,548,0,0,0,0,0.0,False,0.3215974479194416,0.45072992700729925,0.7135036496350365
val_n_996_t5p0,n_996,val,not_drowsy,5.0,150,720,1280,317,631,579,1019,262,388,0.6752577319587629,262,388,1.4809160305343512,0,0,0,0,0.0,False,1.0,254,631,642,1019,388,0,0,0,0,0.0,False,0.6752577319587629,0.6752577319587629,1.0,215,592,681,1058,466,0,0,0,0,0.0,False,0.46812429773987363,0.5622317596566524,0.8326180257510729,176,553,720,1097,544,0,0,0,0,0.0,False,0.34350670415224915,0.48161764705882354,0.7132352941176471
train_d_25_t7p0,d_25,train,drowsy,7.0,210,720,1280,268,516,542,905,274,389,0.7043701799485861,274,389,1.4197080291970803,0,0,0,0,0.0,False,1.0,210,516,599,905,389,0,0,0,0,0.0,False,0.7043701799485861,0.7043701799485861,1.0,171,477,638,944,467,0,0,0,0,0.0,False,0.48872707931165715,0.5867237687366167,0.8329764453961456,132,438,677,983,545,0,0,0,0,0.0,False,0.3588452150492383,0.5027522935779817,0.7137614678899082
train_n_461_t7p0,n_461,train,not_drowsy,7.0,175,720,1280,253,376,454,696,201,320,0.628125,201,320,1.592039800995025,0,0,0,0,0.0,False,1.0,193,376,513,696,320,0,0,0,0,0.0,False,0.628125,0.628125,1.0,161,344,545,728,384,0,0,0,0,0.0,False,0.4361979166666667,0.5234375,0.8333333333333334,129,312,577,760,448,0,0,0,0,0.0,False,0.3204719387755102,0.4486607142857143,0.7142857142857143
val_d_44_t7p0,d_44,val,drowsy,7.0,210,720,1280,226,329,465,718,239,389,0.6143958868894601,239,389,1.6276150627615062,0,0,0,0,0.0,False,1.0,151,329,540,718,389,0,0,0,0,0.0,False,0.6143958868894601,0.6143958868894601,1.0,112,290,579,757,467,0,0,0,0,0.0,False,0.42629843779374477,0.5117773019271948,0.8329764453961456,73,251,618,796,545,0,0,0,0,0.0,False,0.31300732261594144,0.43853211009174314,0.7137614678899082
val_n_996_t7p0,n_996,val,not_drowsy,7.0,210,720,1280,322,632,584,1008,262,376,0.6968085106382979,262,376,1.4351145038167938,0,0,0,0,0.0,False,1.0,265,632,641,1008,376,0,0,0,0,0.0,False,0.6968085106382979,0.6968085106382979,1.0,227,594,679,1046,452,0,0,0,0,0.0,False,0.4821834129532461,0.5796460176991151,0.831858407079646,189,556,716,1083,527,0,0,0,0,0.0,False,0.3547054862833914,0.4971537001897533,0.713472485768501
train_d_25_t9p0,d_25,train,drowsy,9.0,270,720,1280,243,518,510,885,267,367,0.7275204359673024,267,367,1.3745318352059925,0,0,0,0,0.0,False,1.0,193,518,560,885,367,0,0,0,0,0.0,False,0.7275204359673024,0.7275204359673024,1.0,156,481,597,922,441,0,0,0,0,0.0,False,0.5038487050148858,0.6054421768707483,0.8321995464852607,119,444,633,958,514,0,0,0,0,0.0,False,0.3708950930369877,0.519455252918288,0.7140077821011673
train_n_461_t9p0,n_461,train,not_drowsy,9.0,225,720,1280,247,365,455,687,208,322,0.6459627329192547,208,322,1.5480769230769231,0,0,0,0,0.0,False,1.0,190,365,512,687,322,0,0,0,0,0.0,False,0.6459627329192547,0.6459627329192547,1.0,157,332,544,719,387,0,0,0,0,0.0,False,0.4471953475018195,0.537467700258398,0.8320413436692506,125,300,576,751,451,0,0,0,0,0.0,False,0.3292805836746132,0.4611973392461197,0.7139689578713969
val_d_44_t9p0,d_44,val,drowsy,9.0,270,720,1280,221,303,466,697,245,394,0.6218274111675127,245,394,1.6081632653061224,0,0,0,0,0.0,False,1.0,146,303,540,697,394,0,0,0,0,0.0,False,0.6218274111675127,0.6218274111675127,1.0,107,263,580,736,473,0,0,0,0,0.0,False,0.43145948893527436,0.5179704016913319,0.8329809725158562,67,224,619,776,552,0,0,0,0,0.0,False,0.31679925435832806,0.4438405797101449,0.7137681159420289
val_n_996_t9p0,n_996,val,not_drowsy,9.0,270,720,1280,306,638,568,994,262,356,0.7359550561797753,262,356,1.3587786259541985,0,0,0,0,0.0,False,1.0,259,638,615,994,356,0,0,0,0,0.0,False,0.7359550561797753,0.7359550561797753,1.0,223,602,651,1030,428,0,0,0,0,0.0,False,0.5091711066468687,0.6121495327102804,0.8317757009345794,187,566,686,1065,499,0,0,0,0,0.0,False,0.3745848410247348,0.5250501002004008,0.7134268537074149
train_d_25_t1p0,d_25,train,drowsy,1.0,30,720,1280,254,530,520,903,266,373,0.7131367292225201,266,373,1.4022556390977443,0,0,0,0,0.0,False,1.0,200,530,573,903,373,0,0,0,0,0.0,False,0.7131367292225201,0.7131367292225201,1.0,163,492,611,940,448,0,0,0,0,0.0,False,0.49434988839285715,0.59375,0.8325892857142857,125,455,648,978,523,0,0,0,0,0.0,False,0.36273301916798584,0.5086042065009561,0.7131931166347992
train_n_461_t1p0,n_461,train,not_drowsy,1.0,25,720,1280,243,368,454,698,211,330,0.6393939393939394,211,330,1.5639810426540284,0,0,0,0,0.0,False,1.0,183,368,513,698,330,0,0,0,0,0.0,False,0.6393939393939394,0.6393939393939394,1.0,150,335,546,731,396,0,0,0,0,0.0,False,0.44402356902356904,0.5328282828282829,0.8333333333333334,117,302,579,764,462,0,0,0,0,0.0,False,0.3262213976499691,0.45670995670995673,0.7142857142857143
val_d_44_t1p0,d_44,val,drowsy,1.0,30,720,1280,217,310,471,721,254,411,0.6180048661800487,254,411,1.6181102362204725,0,0,0,0,0.0,False,1.0,138,310,549,721,411,0,0,0,0,0.0,False,0.6180048661800487,0.6180048661800487,1.0,97,268,591,762,494,0,0,0,0,0.0,False,0.42778114704387876,0.5141700404858299,0.8319838056680162,56,227,632,803,576,0,0,0,0,0.0,False,0.31465205439814814,0.4409722222222222,0.7135416666666666
train_d_25_t3p0,d_25,train,drowsy,3.0,90,720,1280,271,498,535,881,264,383,0.6892950391644909,264,383,1.4507575757575757,0,0,0,0,0.0,False,1.0,211,498,594,881,383,0,0,0,0,0.0,False,0.6892950391644909,0.6892950391644909,1.0,173,459,633,919,460,0,0,0,0,0.0,False,0.4778449905482042,0.5739130434782609,0.8326086956521739,134,421,671,958,537,0,0,0,0,0.0,False,0.3506340834139592,0.49162011173184356,0.7132216014897579
