video_id,split,label,context_missing_count,longest_context_missing_run,context_exclusion_reason,canonical_policy_hash,sequence_missing_policy_hash
d_61,train,drowsy,15,5,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_72,train,drowsy,13,5,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_74,train,drowsy,30,29,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_76,train,drowsy,9,2,TOO_MANY_CONTEXT_MISSING,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_787,train,drowsy,5,5,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_840,train,drowsy,5,5,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_841,train,drowsy,5,5,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_866,train,drowsy,16,11,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_884,train,drowsy,8,5,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_112,val,not_drowsy,13,13,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_115,train,not_drowsy,11,6,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_136,train,not_drowsy,18,9,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_138,train,not_drowsy,16,9,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_141,train,not_drowsy,10,10,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_142,train,not_drowsy,8,7,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_245,train,not_drowsy,13,8,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_246,train,not_drowsy,32,32,NO_VALID_CONTEXT,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_247,val,not_drowsy,24,15,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_248,train,not_drowsy,13,7,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_249,train,not_drowsy,19,13,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_250,train,not_drowsy,28,13,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_254,train,not_drowsy,15,5,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_257,train,not_drowsy,10,9,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_259,train,not_drowsy,17,6,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_266,train,not_drowsy,11,6,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_283,train,not_drowsy,9,5,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_284,train,not_drowsy,16,8,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_286,train,not_drowsy,9,4,TOO_MANY_CONTEXT_MISSING,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_288,train,not_drowsy,14,5,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_312,train,not_drowsy,11,10,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_314,train,not_drowsy,8,5,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_318,val,not_drowsy,11,5,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_330,val,not_drowsy,18,10,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_339,val,not_drowsy,8,6,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_348,train,not_drowsy,9,7,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_366,train,not_drowsy,14,5,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_370,train,not_drowsy,12,12,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_388,train,not_drowsy,13,5,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_389,val,not_drowsy,26,26,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_390,train,not_drowsy,10,4,TOO_MANY_CONTEXT_MISSING,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_405,train,not_drowsy,13,12,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_407,train,not_drowsy,5,5,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_531,train,not_drowsy,15,11,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_532,train,not_drowsy,22,15,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_533,train,not_drowsy,5,5,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_534,train,not_drowsy,10,7,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_554,train,not_drowsy,13,5,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_561,train,not_drowsy,7,6,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_61,val,not_drowsy,9,9,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_671,val,not_drowsy,8,8,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_677,train,not_drowsy,7,5,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_678,train,not_drowsy,16,5,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_726,val,not_drowsy,12,6,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_732,train,not_drowsy,6,6,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_744,train,not_drowsy,8,8,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_745,train,not_drowsy,5,5,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_76,train,not_drowsy,16,16,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_79,val,not_drowsy,9,7,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_805,train,not_drowsy,5,5,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_82,val,not_drowsy,19,19,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_842,train,not_drowsy,22,9,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_843,train,not_drowsy,9,6,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_857,train,not_drowsy,13,6,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_865,val,not_drowsy,6,6,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_871,train,not_drowsy,5,5,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
n_998,train,not_drowsy,7,6,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
