review_order,sample_id,video_id,split,label,timestamp_sec,hog_success,yunet_success,bbox_iou,normalized_landmark_diff,ear_hog,ear_yunet,ear_abs_diff,mar_hog,mar_yunet,mar_abs_diff,pitch_circular_diff,yaw_circular_diff,roll_circular_diff,hog_crop_padding_fraction,yunet_crop_padding_fraction,crop_mean_abs_diff,selection_reasons,comparison_image_path,review_sheet
11,train_n_278_t9p0,n_278,train,not_drowsy,9.0,True,True,0.6778108268887567,0.043111533371765855,0.2687429103732704,0.5250798643999367,0.2563369540266663,0.06424781124536655,0.2373765616814462,0.17312875043607964,4.798984299267289,2.824549231881633,1.9545913455221182,0.0,0.0,0.1919080913066864,LARGE_EAR_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/11_train_n_278_t9p0.jpg,review_sheet_02_landmark_ear_mar.jpg
12,train_n_461_t9p0,n_461,train,not_drowsy,9.0,True,True,0.5658682634730539,0.07901473496488971,0.3423023499039593,0.6047330478067698,0.26243069790281054,0.17999778465628316,0.22763981365052702,0.04764202899424386,2.3430098664078685,7.633372984770261,4.36188834113085,0.0,0.0,0.19876424968242645,LARGE_EAR_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/12_train_n_461_t9p0.jpg,review_sheet_02_landmark_ear_mar.jpg
13,train_n_883_t7p0,n_883,train,not_drowsy,7.0,True,True,0.6667433302667893,0.0715857517695866,0.21228529812587965,0.44784745556711225,0.2355621574412326,0.08132714124571536,0.3508260159147593,0.269498874669044,1.614909133316928,12.14527567181841,14.422723513459886,0.0,0.0,0.1571444869041443,LARGE_EAR_DIFF;LARGE_ROLL_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/13_train_n_883_t7p0.jpg,review_sheet_02_landmark_ear_mar.jpg
14,val_d_682_t1p0,d_682,val,drowsy,1.0,True,True,0.6628906001400114,0.03446138823072929,0.2515915332109846,0.48963801760729697,0.23804648439631237,0.07911263137295782,0.06963575181639445,0.009476879556563372,1.3632273571436144,0.10756352765102406,0.9956600560156232,0.0,0.0,0.17046934366226196,LARGE_EAR_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/14_val_d_682_t1p0.jpg,review_sheet_02_landmark_ear_mar.jpg
15,val_d_852_t1p0,d_852,val,drowsy,1.0,True,True,0.6999518850740626,0.11793772697909247,0.33482682369466477,0.2791608211621896,0.05566600253247517,0.05960787776784028,0.7064246211508675,0.6468167433830272,2.891094007539465,7.535604482672426,6.395988965706209,0.0,0.0,0.126006081700325,LARGE_MAR_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/15_val_d_852_t1p0.jpg,review_sheet_02_landmark_ear_mar.jpg
16,val_d_852_t3p0,d_852,val,drowsy,3.0,True,True,0.5724242594570288,0.15272825585010988,0.24799929028933027,0.31511981787797827,0.067120527588648,0.027374154301398026,0.5846317557810553,0.5572576014796573,9.414721025054916,7.7198682208758385,12.669567253642356,0.0,0.02296819787985871,0.1872461438179016,LARGE_LANDMARK_DIFF;LARGE_MAR_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/16_val_d_852_t3p0.jpg,review_sheet_02_landmark_ear_mar.jpg
17,val_n_241_t9p0,n_241,val,not_drowsy,9.0,True,True,0.5111146752205292,0.03979402197852023,0.3619327381995802,0.38042145733692123,0.018488719137341014,0.6784973061162981,0.05764427044107796,0.6208530356752201,4.74268781903433,2.3779128790029063,1.0148957809246042,0.0,0.0,0.23812584578990936,LARGE_CROP_DIFF;LARGE_MAR_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/17_val_n_241_t9p0.jpg,review_sheet_02_landmark_ear_mar.jpg
18,val_n_658_t5p0,n_658,val,not_drowsy,5.0,True,True,0.6070370809145835,0.3032976181669219,0.2870167899368617,0.4065191505795208,0.11950236064265912,0.42194831976502234,1.027244056855349,0.6052957370903266,24.175701693241876,1.392308413676858,152.2656240194226,0.0,0.0,0.15601569414138794,LARGE_LANDMARK_DIFF;LARGE_MAR_DIFF;LARGE_PITCH_DIFF;LARGE_ROLL_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/18_val_n_658_t5p0.jpg,review_sheet_02_landmark_ear_mar.jpg
19,val_n_658_t9p0,n_658,val,not_drowsy,9.0,True,True,0.6373115652743848,0.15279750162375044,0.27301625247162425,0.31597056834228454,0.04295431587066029,0.25689416317767816,0.28568716935725863,0.02879300617958047,11.043426552525176,7.169814272928164,6.962797339484382,0.0,0.0,0.16153211891651154,LARGE_LANDMARK_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/19_val_n_658_t9p0.jpg,review_sheet_02_landmark_ear_mar.jpg
20,train_d_25_t1p0,d_25,train,drowsy,1.0,True,True,0.7305074626865672,0.01822419456265942,0.20321737872330065,0.23310742322590045,0.0298900445025998,0.06395000728037993,0.02194739602157359,0.04200261125880634,1.2058766388236677,1.0708500281880333,1.2820655385018824,0.0,0.0,0.15013748407363892,HOG_CROP_PADDING,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/20_train_d_25_t1p0.jpg,review_sheet_03_pose_crop_01.jpg
21,train_d_25_t3p0,d_25,train,drowsy,3.0,True,True,0.6718859699250576,0.012986019039007401,0.2126098097731681,0.17937905099359286,0.03323075877957524,0.04977553804322852,0.013469311461009133,0.03630622658221939,0.9196967950419435,0.3076554724830771,0.6240424250518686,0.0,0.0,0.20223504304885864,HOG_CROP_PADDING,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/21_train_d_25_t3p0.jpg,review_sheet_03_pose_crop_01.jpg
22,train_d_25_t5p0,d_25,train,drowsy,5.0,True,True,0.7015024125744348,0.01399253645312253,0.22665100497194118,0.20546240369582677,0.02118860127611441,0.07614519053051015,0.03116247843401426,0.04498271209649589,2.25275546364162,4.656570534992511,0.36084424511363977,0.0,0.0,0.18861253559589386,HOG_CROP_PADDING,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/22_train_d_25_t5p0.jpg,review_sheet_03_pose_crop_01.jpg
23,train_d_5_t3p0,d_5,train,drowsy,3.0,True,True,0.5467857906773944,0.022517533575106538,0.2524185326369418,0.2947011120946544,0.04228257945771258,0.08652444267305673,0.05874002931833075,0.02778441335472598,0.009397767754165898,2.5049902954004892,1.6037564951245997,0.0,0.033546325878594296,0.23710471391677856,LARGE_CROP_DIFF;YUNET_CROP_PADDING,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/23_train_d_5_t3p0.jpg,review_sheet_03_pose_crop_01.jpg
24,train_d_5_t5p0,d_5,train,drowsy,5.0,True,True,0.7051094890510949,0.01872801056592598,0.2801342514101741,0.27024510379937405,0.009889147610800064,0.06528998016764655,0.04770848035464683,0.017581499812999717,0.16930440112861334,0.5910386101715233,1.3247012671099583,0.0,0.06765676567656764,0.21644876897335052,YUNET_CROP_PADDING,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/24_train_d_5_t5p0.jpg,review_sheet_03_pose_crop_01.jpg
25,train_d_75_t1p0,d_75,train,drowsy,1.0,True,True,0.7104542292752891,0.03631788038744165,0.4496712328089343,0.5559569065122534,0.1062856737033191,0.060158878841454114,0.06303900362899509,0.0028801247875409747,0.27662935987089554,11.880177733514785,4.521238647226738,0.036206896551724155,0.14064914992272026,0.11576813459396362,HOG_CROP_PADDING;YUNET_CROP_PADDING,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/25_train_d_75_t1p0.jpg,review_sheet_03_pose_crop_01.jpg
26,train_d_75_t5p0,d_75,train,drowsy,5.0,True,True,0.5249245527053245,0.21611698181147126,0.5534822253938176,0.46457196524695543,0.08891026014686221,0.07640224660605721,0.306836743934997,0.23043449732893978,22.92439233584963,98.01200374164009,61.075222843275185,0.0,0.029320987654321007,0.18148811161518097,LARGE_LANDMARK_DIFF;LARGE_PITCH_DIFF;LARGE_ROLL_DIFF;LARGE_YAW_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/26_train_d_75_t5p0.jpg,review_sheet_03_pose_crop_01.jpg
27,train_d_75_t7p0,d_75,train,drowsy,7.0,True,True,0.5884044339939536,0.14024228523088655,0.4273139247671748,0.44597185539382117,0.01865793062664639,0.03717290486758477,0.0703435148638134,0.03317060999622864,42.967217623806505,12.011431301702743,39.94482257494937,0.0,0.11703703703703705,0.17711365222930908,LARGE_LANDMARK_DIFF;LARGE_PITCH_DIFF;LARGE_ROLL_DIFF;YUNET_CROP_PADDING,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/27_train_d_75_t7p0.jpg,review_sheet_03_pose_crop_01.jpg
28,train_d_75_t9p0,d_75,train,drowsy,9.0,True,True,0.5552799455166855,0.06381754337705019,0.4365034328484721,0.44848747081922347,0.011984037970751371,0.0,0.058793033025887544,0.058793033025887544,29.577550406201965,1.2639127796063008,159.19337289665134,0.0,0.13694721825962908,0.19092030823230743,LARGE_PITCH_DIFF;LARGE_ROLL_DIFF;YUNET_CROP_PADDING,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/28_train_d_75_t9p0.jpg,review_sheet_03_pose_crop_01.jpg
29,train_d_936_t9p0,d_936,train,drowsy,9.0,True,True,0.6953266264577745,0.10313871731483802,0.37439065661008564,0.3267010596459482,0.04768959696413744,0.08189270745694623,0.07051667090268182,0.011376036554264404,29.32503644317387,4.1557153375594,7.02131841529058,0.0,0.0,0.16255231201648712,LARGE_PITCH_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/29_train_d_936_t9p0.jpg,review_sheet_03_pose_crop_01.jpg
30,train_n_461_t1p0,n_461,train,not_drowsy,1.0,True,True,0.6639115222955362,0.08964577256849658,0.3588524257368727,0.49807069696465156,0.13921827122777886,0.0939432340686662,0.36065870192817323,0.26671546785950706,7.453319239446756,24.731932086611522,1.6351314725137058,0.0,0.0,0.14568442106246948,LARGE_YAW_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/30_train_n_461_t1p0.jpg,review_sheet_03_pose_crop_01.jpg
31,train_n_883_t1p0,n_883,train,not_drowsy,1.0,True,True,0.6055882583784632,0.03740310630180043,0.28585326377041964,0.3952509473963224,0.10939768362590274,0.06347920495127506,0.4172526621928251,0.35377345724155,2.049252364151357,22.808593369898006,3.0264871164146996,0.0,0.0,0.16543526947498322,LARGE_YAW_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/31_train_n_883_t1p0.jpg,review_sheet_03_pose_crop_01.jpg
32,val_n_241_t3p0,n_241,val,not_drowsy,3.0,True,True,0.5057335382432911,0.032904276424714426,0.34833800521638714,0.38038633946123446,0.03204833424484732,0.19835057219091048,0.05442302798967186,0.14392754420123863,12.493780759419451,5.453453143368307,6.067108942056535,0.0,0.0,0.23781828582286835,LARGE_CROP_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/32_val_n_241_t3p0.jpg,review_sheet_03_pose_crop_02.jpg
33,val_n_241_t5p0,n_241,val,not_drowsy,5.0,True,True,0.4870044304257151,0.04934991431916176,0.3137029503561085,0.3582884463702114,0.04458549601410289,0.35302993305564956,0.08763553795176687,0.2653943951038827,12.603788568064715,15.87150816796651,7.015576532781637,0.0,0.0,0.2398230880498886,LARGE_CROP_DIFF;LARGE_PITCH_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/33_val_n_241_t5p0.jpg,review_sheet_03_pose_crop_02.jpg
34,val_n_640_t1p0,n_640,val,not_drowsy,1.0,True,True,0.5933537437924883,0.10366471199057056,0.31330194963695135,0.5273077032197956,0.21400575358284424,0.4227029265434006,0.31308591185767737,0.10961701468572321,30.163667650934315,15.245460007652753,29.19573599194348,0.0,0.0,0.1963861733675003,LARGE_EAR_DIFF;LARGE_PITCH_DIFF;LARGE_ROLL_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/34_val_n_640_t1p0.jpg,review_sheet_03_pose_crop_02.jpg
35,val_n_640_t7p0,n_640,val,not_drowsy,7.0,True,True,0.5559186812130533,0.2012396844881968,0.31194930285258154,0.37898472962765034,0.0670354267750688,0.39471074463923406,0.1764366744100102,0.21827407022922385,7.275813159704626,94.54235346985033,175.6686890057505,0.0,0.0,0.20326216518878937,LARGE_LANDMARK_DIFF;LARGE_ROLL_DIFF;LARGE_YAW_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/35_val_n_640_t7p0.jpg,review_sheet_03_pose_crop_02.jpg
36,train_d_620_t9p0,d_620,train,drowsy,9.0,True,True,0.6902950795575644,0.026224193360426844,0.31574402348224934,0.35413822266530215,0.03839419918305281,0.034160605884356564,0.04981995566895126,0.015659349784594698,0.5299896246685876,1.9009306835926623,0.840726101175477,0.0,0.0,0.13824042677879333,NORMAL_REFERENCE,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/36_train_d_620_t9p0.jpg,review_sheet_04_normal_reference.jpg
37,train_d_936_t1p0,d_936,train,drowsy,1.0,True,True,0.8108131967916057,0.009656723010325824,0.33146404893096126,0.3521907538784217,0.020726704947460428,0.04510850947771663,0.06406739739096272,0.01895888791324609,0.06622654304447906,0.07506276486580532,0.08126159883596529,0.0,0.0,0.1303301751613617,NORMAL_REFERENCE,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/37_train_d_936_t1p0.jpg,review_sheet_04_normal_reference.jpg
38,train_n_278_t3p0,n_278,train,not_drowsy,3.0,True,True,0.6863196524087313,0.011208045952265312,0.2739854096585629,0.2546899525345749,0.019295457123988002,0.026299605099783335,0.028896681690366348,0.0025970765905830133,0.45571730384264697,0.19344064069937872,0.1587143649010443,0.0,0.0,0.1874559372663498,NORMAL_REFERENCE,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/38_train_n_278_t3p0.jpg,review_sheet_04_normal_reference.jpg
39,train_n_889_t3p0,n_889,train,not_drowsy,3.0,True,True,0.67851478168921,0.010769119052725118,0.3498496040223858,0.37020785789033533,0.02035825386794954,0.03296027467093167,0.006833305240913977,0.02612696943001769,0.12574246623628937,0.9096602291305373,0.18179404130697208,0.0,0.0,0.1267281323671341,NORMAL_REFERENCE,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/39_train_n_889_t3p0.jpg,review_sheet_04_normal_reference.jpg
40,val_d_280_t5p0,d_280,val,drowsy,5.0,True,True,0.7281493115161255,0.011185685236852802,0.20524773386214523,0.18576693473155276,0.019480799130592474,0.11010624841371061,0.10267920611999314,0.007427042293717476,1.5681897839563987,1.4373541344490377,0.6786550813518204,0.0,0.0,0.12698282301425934,NORMAL_REFERENCE,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/40_val_d_280_t5p0.jpg,review_sheet_04_normal_reference.jpg
41,val_d_609_t9p0,d_609,val,drowsy,9.0,True,True,0.7056742815033161,0.02146987518211604,0.41032792850348154,0.3939179592265747,0.016409969276906855,0.10168026149091394,0.08750410185091365,0.014176159640000296,1.6669519397041483,1.1301773124062322,0.019717640980132956,0.0,0.0,0.10224521905183792,NORMAL_REFERENCE,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/41_val_d_609_t9p0.jpg,review_sheet_04_normal_reference.jpg
42,val_d_796_t5p0,d_796,val,drowsy,5.0,True,True,0.6920828166685454,0.02114635902363004,0.3093182144813183,0.32389091729703157,0.014572702815713268,0.22416551483579322,0.21555915933364905,0.00860635550214417,0.24776123641191816,0.3771951006810923,1.0220541482887313,0.0,0.0,0.15020166337490082,NORMAL_REFERENCE,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/42_val_d_796_t5p0.jpg,review_sheet_04_normal_reference.jpg
43,val_n_1002_t5p0,n_1002,val,not_drowsy,5.0,True,True,0.6995294942970839,0.014216769481695694,0.42226695238784695,0.42822933198050717,0.005962379592660216,0.07014778066761672,0.0460681422409776,0.02407963842663912,1.200513828474982,0.2101198712154826,0.3593375293468739,0.0,0.0,0.1645764410495758,NORMAL_REFERENCE,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/43_val_n_1002_t5p0.jpg,review_sheet_04_normal_reference.jpg
44,val_n_196_t3p0,n_196,val,not_drowsy,3.0,True,True,0.7142857142857143,0.012720251272799339,0.3993575441354211,0.4143761398727805,0.015018595737359364,0.03735450863618114,0.0675429033697874,0.03018839473360626,0.5299429890068836,0.2899178914917968,0.09103899589956654,0.0,0.0,0.22007650136947632,NORMAL_REFERENCE,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/44_val_n_196_t3p0.jpg,review_sheet_04_normal_reference.jpg
45,val_n_196_t5p0,n_196,val,not_drowsy,5.0,True,True,0.6802070439968493,0.015493085809221117,0.3832035595105673,0.4131636694217473,0.029960109911180033,0.03280472168056829,0.04383937815650646,0.011034656475938168,0.06014402603508984,0.39372209643570955,0.6684372593742864,0.0,0.0,0.23563741147518158,NORMAL_REFERENCE,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/45_val_n_196_t5p0.jpg,review_sheet_04_normal_reference.jpg
