review_order,sample_id,video_id,timestamp_sec,comparison_image_path,selection_reasons,hog_bbox_ok,yunet_bbox_ok,hog_crop_ok,yunet_crop_ok,hog_landmarks_ok,yunet_landmarks_ok,hog_eyes_ok,yunet_eyes_ok,hog_mouth_ok,yunet_mouth_ok,hog_pose_ok,yunet_pose_ok,preferred_detector,review_decision,review_note
33,val_n_241_t5p0,n_241,5.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/33_val_n_241_t5p0.jpg,LARGE_CROP_DIFF;LARGE_PITCH_DIFF,,,,,,,,,,,,,,,
34,val_n_640_t1p0,n_640,1.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/34_val_n_640_t1p0.jpg,LARGE_EAR_DIFF;LARGE_PITCH_DIFF;LARGE_ROLL_DIFF,,,,,,,,,,,,,,,
35,val_n_640_t7p0,n_640,7.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/35_val_n_640_t7p0.jpg,LARGE_LANDMARK_DIFF;LARGE_ROLL_DIFF;LARGE_YAW_DIFF,,,,,,,,,,,,,,,
36,train_d_620_t9p0,d_620,9.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/36_train_d_620_t9p0.jpg,NORMAL_REFERENCE,,,,,,,,,,,,,,,
37,train_d_936_t1p0,d_936,1.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/37_train_d_936_t1p0.jpg,NORMAL_REFERENCE,,,,,,,,,,,,,,,
38,train_n_278_t3p0,n_278,3.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/38_train_n_278_t3p0.jpg,NORMAL_REFERENCE,,,,,,,,,,,,,,,
39,train_n_889_t3p0,n_889,3.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/39_train_n_889_t3p0.jpg,NORMAL_REFERENCE,,,,,,,,,,,,,,,
40,val_d_280_t5p0,d_280,5.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/40_val_d_280_t5p0.jpg,NORMAL_REFERENCE,,,,,,,,,,,,,,,
41,val_d_609_t9p0,d_609,9.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/41_val_d_609_t9p0.jpg,NORMAL_REFERENCE,,,,,,,,,,,,,,,
42,val_d_796_t5p0,d_796,5.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/42_val_d_796_t5p0.jpg,NORMAL_REFERENCE,,,,,,,,,,,,,,,
43,val_n_1002_t5p0,n_1002,5.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/43_val_n_1002_t5p0.jpg,NORMAL_REFERENCE,,,,,,,,,,,,,,,
44,val_n_196_t3p0,n_196,3.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/44_val_n_196_t3p0.jpg,NORMAL_REFERENCE,,,,,,,,,,,,,,,
45,val_n_196_t5p0,n_196,5.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/45_val_n_196_t5p0.jpg,NORMAL_REFERENCE,,,,,,,,,,,,,,,
