video_id,split,label,context_exclusion_reason,behavior_exclusion_reason,context_missing_count,context_longest_run,behavior_valid_count,behavior_longest_run
n_534,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,10,7,67,21
n_554,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,13,5,61,15
n_561,train,not_drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,7,6,78,20
n_61,val,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,9,9,72,19
n_671,val,not_drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,8,8,75,25
n_677,train,not_drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,7,5,80,16
n_678,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,16,5,52,16
n_726,val,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,12,6,63,17
n_732,train,not_drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,6,6,83,17
n_744,train,not_drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,8,8,77,23
n_745,train,not_drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,5,5,84,16
n_76,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,16,16,52,31
n_79,val,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,9,7,70,23
n_805,train,not_drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,5,5,86,8
n_82,val,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,19,19,40,59
n_842,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,22,9,33,26
n_843,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,9,6,69,20
n_857,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,13,6,57,17
n_865,val,not_drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,6,6,82,13
n_871,train,not_drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,5,5,86,14
n_998,train,not_drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,7,6,81,16
