video_id,split,label,context_imputed_count,context_missing_original_count,behavior_valid_count,behavior_missing_count,longest_behavior_missing_run,behavior_exclusion_reason
n_299,train,not_drowsy,1,1,93,7,4,INSUFFICIENT_VALID_BEHAVIOR
n_300,val,not_drowsy,6,6,85,15,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_305,train,not_drowsy,4,4,84,16,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_306,train,not_drowsy,2,2,94,6,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_307,train,not_drowsy,2,2,94,6,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_311,val,not_drowsy,7,7,77,23,15,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_315,train,not_drowsy,3,3,91,9,5,INSUFFICIENT_VALID_BEHAVIOR
n_316,train,not_drowsy,6,6,75,25,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_319,train,not_drowsy,7,7,77,23,10,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_320,train,not_drowsy,8,8,72,28,5,INSUFFICIENT_VALID_BEHAVIOR
n_321,train,not_drowsy,8,8,75,25,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_322,train,not_drowsy,6,6,80,20,14,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_328,train,not_drowsy,3,3,89,11,11,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_337,val,not_drowsy,6,6,83,17,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_338,train,not_drowsy,3,3,92,8,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_34,val,not_drowsy,2,2,92,8,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_345,train,not_drowsy,3,3,90,10,10,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_347,train,not_drowsy,3,3,90,10,10,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_349,train,not_drowsy,3,3,91,9,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_35,train,not_drowsy,2,2,92,8,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_352,train,not_drowsy,3,3,91,9,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_357,val,not_drowsy,3,3,92,8,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_358,train,not_drowsy,5,5,88,12,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_359,train,not_drowsy,2,2,93,7,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_360,val,not_drowsy,2,2,92,8,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_374,train,not_drowsy,4,4,89,11,11,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_375,train,not_drowsy,3,3,91,9,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_385,val,not_drowsy,4,4,87,13,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_409,val,not_drowsy,3,3,90,10,10,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_415,train,not_drowsy,2,2,88,12,5,INSUFFICIENT_VALID_BEHAVIOR
n_437,train,not_drowsy,2,2,94,6,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_438,val,not_drowsy,3,3,86,14,5,INSUFFICIENT_VALID_BEHAVIOR
n_443,train,not_drowsy,4,4,86,14,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_537,train,not_drowsy,6,6,82,18,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_538,train,not_drowsy,3,3,91,9,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_541,train,not_drowsy,4,4,87,13,10,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_568,train,not_drowsy,2,2,94,6,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_6,val,not_drowsy,2,2,93,7,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_644,val,not_drowsy,5,5,85,15,12,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_676,train,not_drowsy,2,2,92,8,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_679,train,not_drowsy,5,5,85,15,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_680,train,not_drowsy,5,5,87,13,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_705,train,not_drowsy,3,3,93,7,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_725,train,not_drowsy,2,2,94,6,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_727,train,not_drowsy,4,4,93,7,4,INSUFFICIENT_VALID_BEHAVIOR
n_77,train,not_drowsy,2,2,94,6,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_8,val,not_drowsy,2,2,91,9,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_804,train,not_drowsy,1,1,93,7,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_811,train,not_drowsy,2,2,91,9,4,INSUFFICIENT_VALID_BEHAVIOR
n_812,train,not_drowsy,7,7,84,16,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_814,train,not_drowsy,4,4,90,10,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_834,train,not_drowsy,6,6,83,17,13,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_837,train,not_drowsy,3,3,90,10,10,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_841,val,not_drowsy,5,5,84,16,11,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_846,train,not_drowsy,4,4,90,10,3,INSUFFICIENT_VALID_BEHAVIOR
n_850,train,not_drowsy,7,7,79,21,11,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_855,train,not_drowsy,2,2,92,8,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_861,train,not_drowsy,8,8,79,21,10,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_862,train,not_drowsy,6,6,84,16,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_863,train,not_drowsy,3,3,90,10,10,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_864,train,not_drowsy,2,2,94,6,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_934,train,not_drowsy,2,2,90,10,5,INSUFFICIENT_VALID_BEHAVIOR
n_957,train,not_drowsy,3,3,89,11,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_995,train,not_drowsy,6,6,81,19,14,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_996,val,not_drowsy,4,4,86,14,5,INSUFFICIENT_VALID_BEHAVIOR
n_997,val,not_drowsy,3,3,88,12,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_999,train,not_drowsy,5,5,84,16,13,BOTH_BEHAVIOR_LIMITS_EXCEEDED
