video_id,video_path,extension,label,label_source,subject_id,subject_id_reason,fps,frame_count,decoded_frame_count,duration_seconds,width,height,is_readable,read_error
d_125,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_125.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_126,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_126.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_127,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_127.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_128,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_128.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_129,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_129.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_13,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_13.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_130,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_130.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_131,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_131.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_132,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_132.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_133,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_133.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_134,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_134.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_135,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_135.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_136,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_136.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_137,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_137.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_138,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_138.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_139,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_139.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_14,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_14.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_140,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_140.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_141,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_141.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_142,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_142.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_143,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_143.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_144,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_144.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_145,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_145.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_146,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_146.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_147,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_147.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_148,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_148.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_149,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_149.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_15,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_15.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_150,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_150.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_151,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_151.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_152,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_152.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_153,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_153.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_154,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_154.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_155,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_155.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_156,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_156.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_157,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_157.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_158,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_158.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_159,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_159.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_16,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_16.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_160,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_160.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_161,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_161.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_162,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_162.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_163,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_163.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_164,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_164.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_165,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_165.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_166,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_166.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_167,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_167.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_168,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_168.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_169,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_169.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_17,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_17.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_170,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_170.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_171,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_171.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_172,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_172.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_173,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_173.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_174,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_174.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_175,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_175.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_176,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_176.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_177,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_177.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_178,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_178.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_179,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_179.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_18,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_18.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_180,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_180.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_181,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_181.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_182,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_182.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_183,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_183.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_184,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_184.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_185,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_185.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_186,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_186.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_187,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_187.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_188,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_188.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_189,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_189.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_19,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_19.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_190,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_190.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_191,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_191.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_192,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_192.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_193,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_193.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_194,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_194.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_195,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_195.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_196,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_196.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,29.5,295,295,10.0,720,1280,True,
d_197,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_197.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_198,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_198.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_199,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_199.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_2,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_2.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_20,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_20.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_200,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_200.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_201,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_201.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_202,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_202.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_203,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_203.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_204,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_204.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_205,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_205.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_206,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_206.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_207,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_207.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_208,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_208.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_209,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_209.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_21,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_21.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_210,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_210.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_211,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_211.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_212,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_212.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_213,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_213.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_214,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_214.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_215,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_215.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_216,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_216.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_217,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_217.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
